,C061129A1-SR-C1,C060112A1-SR-C1,C060202A4-SR-C1,C061128A3-SR-C1,C060116A4-SR-C1,C060116A1-SR-C1,C061128A1-SR-C1,C061128A4-SR-C1,C061121A1-SR-C1,C061208A2-SR-C1,C060112A6-SR-C1,C061208A3-SR-C1,C060116A6-SR-C1,C060202A2-SR-C1,C060112A4-SR-C1,C070109A4-C1,C060209A3-SR-C1,C060114A6-SR-C1,C060116A7-SR-C1,C060109A1-SR-C1,C080501B2-SR-C1,C060112A7-SR-C1,C061129A3-SR-C1,C060109A3-SR-C1,C060114A5-SR-C1,C060110A2-SR-C1,C060114A7-SR-C1,C060110A3-SR-C1,C060109A2-SR-C1,C060116A3-SR-C1,C061128B1-SR-C1,C060114A4-SR-C1,C061128B2-SR-C1,C060112A3-SR-C1,C060202A1-SR-C1,C061208B2-SR-C1,C080501A5-SR-C1,C061128A5-SR-C1,C061208B1-SR-C1,C060110A5-SR-C1,C060114A2-SR-C1,C060202A6-SR-C1,C060202A5-SR-C1,C060116A5-SR-C1
IV_-100.soma.v.Spikecount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV_-20.soma.v.voltage_base,-82.9326,-83.2366,-82.4743,-82.045,-83.0984,-82.7498,-81.2729,-82.3792,-81.3898,-82.0778,-81.7532,-83.1586,-83.2243,-82.7785,-83.7907,-81.391,-83.7933,-82.2019,-82.3468,-84.3898,-82.6044,-82.8062,-81.7072,-83.8012,-83.215,-84.2602,-82.7248,-83.1919,-83.3995,-83.4678,-82.2123,-83.381,-82.3838,-83.3836,-84.5023,-83.7384,-83.1039,-81.5699,-82.5083,-82.7766,-83.2833,-84.3579,-83.7431,-85.1963
IV_-20.soma.v.steady_state_voltage_stimend,-86.087,-86.2665,-86.3183,-87.3198,-85.4555,-85.6865,-86.4113,-84.4639,-85.2832,-85.5699,-85.6704,-86.6118,-86.7312,-85.3356,-86.6216,-85.1217,-86.2195,-84.9173,-86.2259,-86.2955,-84.9954,-85.5288,-84.3451,-86.2626,-86.3103,-86.6737,-85.6115,-86.2553,-85.7877,-87.0782,-85.6755,-86.4864,-85.4507,-86.74,-86.9869,-86.3404,-85.5737,-84.7568,-86.0756,-85.7487,-85.7873,-86.7674,-87.0047,-87.9727
IV_-20.soma.v.ohmic_input_resistance_vb_ssse,37.0256,50.6007,59.6621,51.1989,36.5179,37.9074,44.4919,46.4419,43.6624,57.137,69.4907,59.925,44.3366,46.7054,59.7372,55.3541,98.9463,54.8114,67.5347,50.5251,36.5059,82.1517,31.5093,53.0985,66.2335,38.3549,62.7296,46.2156,37.9624,48.8173,41.8796,53.4301,32.4688,125.8611,58.2107,55.3895,37.414,64.3792,56.7681,42.7093,52.427,50.0843,63.1331,38.7158
IV_-20.soma.v.voltage_deflection,-3.1008,-2.8818,-3.7234,-5.3023,-2.3948,-2.9328,-5.1138,-1.9813,-3.8552,-3.44,-3.9426,-3.4894,-3.5856,-2.5859,-2.9006,-3.6367,-2.6838,-2.7767,-4.1254,-1.7323,-2.3865,-2.7255,-2.5602,-2.4776,-3.1025,-2.4816,-2.8595,-3.0079,-2.3714,-3.4484,-3.5356,-2.9473,-3.0291,-3.3802,-2.383,-2.717,-2.4471,-3.0649,-3.5988,-2.9174,-2.59,-2.6245,-3.2097,-2.8079
IV_-20.soma.v.voltage_deflection_begin,-3.9853,-4.1249,-4.6452,-6.4106,-3.0933,-3.8242,-6.2936,-2.8198,-4.6766,-3.9964,-4.651,-4.2243,-4.4755,-3.2899,-3.6591,-4.7655,-2.9523,-3.5107,-4.7815,-2.5621,-3.138,-3.2045,-3.1651,-3.029,-3.8919,-3.2482,-4.0294,-3.8898,-3.3011,-4.4215,-4.5123,-4.3913,-3.6107,-4.0356,-3.1642,-3.448,-2.643,-3.8893,-4.2587,-3.4831,-3.4377,-3.2061,-3.9295,-3.4507
IV_-20.soma.v.decay_time_constant_after_stim,10.5304,8.0427,11.6187,12.7329,11.8846,11.6709,10.6414,15.2389,11.7152,17.5004,13.8012,15.081,12.7061,15.4289,15.6125,13.415,22.6679,11.4806,13.9923,13.9977,13.0113,21.4111,10.3254,10.3087,17.1099,10.2749,14.5722,10.2244,8.9937,11.1211,11.5608,12.4579,9.0321,14.1612,14.6842,14.6552,12.8752,9.9837,14.6504,10.837,13.6544,18.2311,11.6269,10.3883
IV_-20.soma.v.Spikecount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV_all.soma.v.voltage_base,-82.9614,-83.5028,-82.6858,-82.1188,-83.1091,-82.8129,-81.5282,-82.2154,-81.5028,-82.0477,-81.9927,-83.3731,-83.5062,-82.6826,-83.8027,-81.3225,-83.9117,-82.2169,-82.5471,-84.4084,-82.7744,-82.9533,-81.7573,-84.0095,-83.2254,-84.2899,-82.514,-83.2482,-83.4288,-83.8153,-82.3087,-83.9004,-82.5091,-83.4596,-84.7282,-83.751,-83.1163,-81.8597,-82.8311,-83.0724,-83.389,-84.4351,-83.7444,-85.3536
IV_all.soma.v.steady_state_voltage_stimend,-87.6313,-88.2773,-87.5208,-86.7681,-86.0218,-86.1984,-85.9466,-84.8883,-86.4859,-85.6547,-86.9694,-87.3895,-87.8868,-85.8387,-87.336,-86.2763,-86.4948,-85.9819,-88.0659,-86.7397,-85.4806,-85.9182,-85.1412,-86.9945,-86.7896,-87.4541,-86.5805,-87.305,-86.4131,-88.1288,-86.9833,-87.7154,-86.6547,-87.9155,-87.4015,-87.3237,-86.1703,-85.8845,-87.158,-86.7597,-86.6008,-87.5688,-87.706,-89.033
IV_all.soma.v.ohmic_input_resistance_vb_ssse,44609.7435,115.5248,129.6277,17.9858,91.0516,-22.2774,29.6037,35.6,37.2022,-29.9805,74.6026,79.0674,1040.3051,111.2125,53.7181,322.3962,-97.4003,66.5591,56.5654,-153.3461,69.3616,-80.6958,-28.5904,-23.4214,392.2379,562.4802,-59.7822,23.9259,5.8289,48.6773,63.6927,-16.0554,-4.8387,130.14,68.4463,-2697.6491,-11.1967,66.0326,57.9409,-507.5079,60.79,37.5345,55.601,39.7656
IV_all.soma.v.voltage_deflection,-4.6778,-4.7695,-4.7803,-4.677,-2.9825,-3.3973,-4.381,-2.6247,-4.9593,-3.5959,-4.9729,-4.0183,-4.3763,-3.1939,-3.5351,-4.9819,-2.5616,-3.815,-5.5647,-2.3006,-2.7247,-3.0046,-3.3159,-2.9931,-3.5473,-3.1652,-4.085,-4.0406,-2.9931,-4.3124,-4.6989,-3.8206,-4.1616,-4.456,-2.6793,-3.5819,-3.0091,-4.0818,-4.2983,-3.7636,-3.2093,-3.1407,-3.9055,-3.6836
IV_all.soma.v.voltage_deflection_begin,-5.3111,-5.5449,-5.7611,-5.4874,-3.8218,-4.3396,-5.3194,-3.6869,-5.5831,-4.2922,-5.6922,-4.8319,-5.5114,-4.2069,-4.6318,-6.2471,-3.7841,-4.5146,-5.9976,-3.311,-3.6236,-4.0447,-4.1987,-3.7969,-4.8743,-4.1178,-5.2078,-4.9705,-4.0542,-5.3628,-5.404,-5.1035,-4.6681,-5.4498,-3.7229,-4.2171,-3.6626,-4.977,-5.0814,-4.542,-4.2112,-4.036,-5.0177,-4.3628
IV_all.soma.v.decay_time_constant_after_stim,14.1791,14.4307,16.0016,12.4678,15.5177,16.2915,10.8261,16.177,11.0407,16.0138,18.3475,41.0064,11.6809,22.0942,28.9872,20.8466,26.1478,22.5392,179.5923,12.9397,11.4021,24.5051,14.847,11.0848,18.0492,11.5976,22.5146,762.8176,14.1397,43.4947,13.3737,32.0912,21.5544,19.7447,15.9425,26.0669,14.1539,28.9791,22.2097,94.4209,31.6956,17.9505,18.7175,72.1434
IV_all.soma.v.Spikecount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Step_120.soma.v.AP_height,17.8608,4.7467,15.9526,11.5066,26.4917,29.8736,23.6098,23.1191,28.2495,12.5073,34.3988,13.2472,8.5478,14.4959,23.7384,11.0641,6.514,27.9107,21.6198,18.557,19.7719,29.8267,31.1811,13.2615,24.5028,20.8953,18.4058,18.5155,28.7793,26.6754,21.1787,22.4839,12.5636,17.2688,13.3659,3.3988,16.9364,19.332,14.8527,23.9591,20.5001,12.6306,1.7541,11.835
Step_120.soma.v.mean_frequency,13.3477,6.0876,4.7009,17.3371,5.309,5.4221,4.5377,13.7357,4.4649,3.0878,3.089,3.7149,4.7497,6.3331,7.6096,10.7441,7.612,16.8257,5.8997,4.1766,8.8916,4.7303,15.5226,11.2939,3.6246,3.5319,2.7113,2.2384,8.5157,3.9059,4.2823,3.1703,9.0275,3.1526,4.5992,2.9667,6.9154,10.7435,3.5332,5.8468,2.1871,2.6947,13.8013,4.6791
Step_120.soma.v.AP_width,2.425,2.5833,2.7536,2.7464,1.9415,2.0219,3.335,2.5375,3.9115,2.3694,3.9427,2.1947,2.6388,2.0497,2.2741,3.48,2.6778,2.2938,2.607,1.6853,1.8552,2.6878,1.9208,1.9719,2.8455,1.8338,3.2838,2.3823,1.925,2.7803,3.0792,2.565,2.1922,2.7529,2.385,2.8092,1.7687,2.782,3.4025,2.1037,2.3875,2.1493,2.4063,2.2547
Step_120.soma.v.time_to_first_spike,53.375,38.25,34.4875,49.3714,48.6875,48.9875,33.19,75.25,29.8125,207.6375,46.7,89.9111,41.3556,47.625,62.9222,59.95,74.7167,44.3625,50.7875,54.8125,58.4875,96.0625,48.875,47.2875,60.0286,39.6,58.85,46.1875,45.3375,48.5,45.275,51.41,31.5625,46.45,69.33,69.7091,39.4375,41.575,62.1,36.45,50.4625,81.175,53.8375,45.97
Step_120.soma.v.AHP_depth_abs,-67.4617,-64.7022,-68.4605,-58.1175,-70.5481,-66.325,-58.2303,-68.3131,-60.5054,-65.3265,-57.326,-65.3111,-63.6173,-72.5486,-66.9713,-61.3829,-74.1859,-60.2602,-63.7324,-74.2768,-69.9292,-65.3632,-66.8867,-73.6606,-66.247,-73.1613,-66.8965,-63.9583,-71.5117,-61.7455,-63.161,-67.8924,-66.0694,-69.579,-69.88,-64.8744,-71.3061,-59.1903,-63.0971,-69.3391,-69.8001,-71.5406,-66.5768,-67.1163
Step_120.soma.v.time_to_last_spike,223.4571,1362.7333,1907.9125,302.3714,1397.5,1322.825,1438.91,75.25,1833.175,1721.1875,1721.5,1629.3778,1925.3556,1092.2833,1050.4667,704.1125,511.1125,452.1125,1277.9,1873.9,776.9125,1140.1,491.8125,857.8125,1271.6857,1771.2444,1726.79,1480.8375,1008.8375,1785.5125,1718.675,1427.71,1423.225,1835.45,930.92,1539.3273,1449.025,789.65,1812.225,1525.525,1456.2875,1549.375,422.95,1663.08
Step_120.soma.v.inv_time_to_first_spike,11.4453,27.4053,29.7026,21.6283,20.8188,21.2973,31.0657,13.7357,34.0842,12.0906,22.5166,14.1633,25.0666,21.3414,16.1069,17.0173,10.1492,23.0874,20.2686,18.5471,17.4475,11.1862,21.1795,21.3166,17.2201,25.6321,17.4993,22.5655,22.404,21.6806,22.5543,19.9949,33.3723,21.8933,15.5858,15.1507,27.5737,24.3915,16.9013,29.2092,20.0269,13.5488,18.8582,22.717
Step_120.soma.v.inv_first_ISI,0.1058,3.6575,4.6489,0.8463,2.7482,4.1094,3.9959,0.0,4.8363,2.8906,4.4514,4.0053,5.1357,1.5776,1.2864,0.8724,0.7378,0.1535,1.8134,3.8934,0.8692,1.7076,0.788,1.2351,2.0429,4.3854,3.4084,3.8043,0.559,5.0554,4.3045,1.3275,3.5802,4.1328,1.2343,2.4714,5.6053,2.4061,4.3147,4.4411,2.6556,2.8103,0.185,4.7762
Step_120.soma.v.inv_second_ISI,0.0,1.8895,4.2316,0.4743,1.6668,3.0768,1.7472,0.0,3.8348,2.5612,2.3283,3.2074,4.204,0.7603,0.8765,0.4397,0.1217,0.0,0.9344,3.6957,0.5437,1.1813,0.6091,0.4477,0.8823,2.9583,1.8508,1.1484,0.3547,3.7616,3.6527,0.5005,2.6774,2.3822,0.1494,1.5569,4.3365,1.0937,2.3725,3.1859,1.1633,1.9942,0.0,3.3774
Step_120.soma.v.inv_third_ISI,0.0,2.6779,4.2557,0.1098,1.9666,2.8868,1.4518,0.0,3.9953,2.2188,2.4053,2.6719,4.1652,0.5923,0.6003,0.506,0.0,0.0,0.7609,3.7726,0.4197,0.9653,0.5288,1.1097,0.4673,2.6698,2.0982,0.9745,0.0,3.4254,3.7239,0.5231,2.3889,2.9224,0.0,1.2464,4.1531,0.9591,3.205,2.8699,0.5636,1.2858,0.0,2.8694
Step_120.soma.v.inv_fourth_ISI,0.0,1.504,4.0443,0.0,1.3998,1.4076,1.1135,0.0,3.6057,2.182,1.4732,2.3318,4.0321,0.1513,0.6193,0.5498,0.0,0.0,0.8636,3.4434,0.0,1.0269,0.2968,0.0,0.513,2.832,1.4699,0.4439,0.0,2.854,3.6562,0.2191,1.9895,1.784,0.0,1.2637,4.1949,1.0629,2.5611,2.531,0.0,1.2412,0.0,2.5481
Step_120.soma.v.inv_fifth_ISI,0.0,1.7125,4.0932,0.0,1.2507,1.3576,0.9352,0.0,3.8462,1.9589,1.4648,2.5183,4.328,0.0,0.0,0.0,0.0,0.0,0.3774,3.5575,0.0,0.7644,0.3684,0.0,0.0,2.3225,0.9394,0.0,0.0,2.7699,3.5428,0.314,2.2306,1.9656,0.0,0.9525,4.1699,0.9093,3.1846,2.0035,0.0,1.1935,0.0,2.147
Step_120.soma.v.inv_last_ISI,0.1058,2.8084,4.1918,0.1098,2.1212,3.1287,1.8548,0.0,4.3931,2.7547,2.5466,3.1618,4.5889,1.1355,1.1045,0.6355,0.518,0.1535,1.3587,4.1026,0.7527,1.2002,0.4911,1.1772,1.3225,2.9361,2.2382,1.7313,0.6133,3.7803,3.7543,1.1866,2.5395,3.2085,0.6176,2.1488,4.1897,1.7777,3.8961,2.5567,1.2129,1.8598,0.185,2.9935
Step_120.soma.v.AP_amplitude,102.663,71.1086,67.2125,100.9794,80.3681,80.7806,81.1159,75.772,72.6983,68.4761,76.5631,64.1704,60.8705,69.9915,75.345,90.8544,61.9499,82.9096,73.6741,79.2605,71.0516,80.6174,81.2944,70.0625,75.739,80.4082,69.6101,78.8061,82.4764,74.1312,67.3052,74.8686,73.0876,69.8735,65.6158,63.1166,74.3953,68.4567,60.5686,80.2197,77.2117,67.9733,82.152,73.5956
Step_120.soma.v.AP1_amp,106.9144,90.7562,80.1433,105.342,81.6353,83.2109,101.6174,75.772,76.4286,99.0366,79.8453,72.8336,98.7887,72.4728,76.2268,103.2422,61.9419,82.7327,72.2142,79.3539,71.068,81.8873,81.4666,68.9958,77.198,80.3518,70.7388,98.3348,82.0286,78.6255,68.627,76.5781,94.9205,69.954,67.1218,86.6772,76.5167,69.7373,62.6884,81.1142,78.25,68.5805,87.0123,101.553
Step_120.soma.v.APlast_amp,98.4116,65.0587,64.6584,99.4205,79.0641,78.4137,73.0879,75.772,71.3234,59.4563,74.0068,61.4075,53.5288,68.8091,74.6032,85.5686,61.8738,83.0866,74.0688,78.8698,70.8497,79.7438,81.0453,70.338,74.4788,79.2004,67.9154,68.525,82.9747,69.8127,65.5186,72.9871,68.1084,70.4923,64.3179,53.2931,72.9458,67.6853,58.5547,78.5587,76.597,67.2917,77.2917,67.317
Step_120.soma.v.AP_duration_half_width,1.7125,0.9525,0.9839,0.9571,1.2053,1.2576,1.5956,1.4625,1.4119,0.8988,1.3198,1.118,1.0788,1.296,0.9978,1.5325,1.075,1.6063,1.3101,1.1947,1.2958,1.3735,1.175,1.2437,1.2371,1.3254,1.1075,1.4265,1.1833,1.3987,1.3281,1.41,1.5224,1.3586,1.2483,0.9072,1.1849,1.1473,0.9836,1.3324,1.6458,1.2007,1.0,1.3076
Step_120.soma.v.AHP_depth,16.2621,18.2173,16.6035,25.7569,13.5261,16.3705,24.2452,15.4192,22.4584,17.5076,25.5782,17.746,19.5573,11.8532,16.61,22.6034,11.0006,23.677,19.1346,10.586,14.1192,16.6191,16.5253,11.3414,17.0948,12.6424,17.3571,20.101,12.9347,21.3329,19.3403,15.5855,16.7193,14.1359,14.1373,18.8878,12.5846,23.5835,19.8765,12.9107,14.0754,12.7893,18.7472,17.7743
Step_120.soma.v.fast_AHP,-17.3405,-1.6596,16.9071,-31.3554,16.6668,15.066,0.5864,,16.0199,7.8925,14.8232,13.8149,11.0089,15.8555,15.1467,-18.4074,17.4531,2.3556,10.8375,14.4623,18.4165,13.8377,15.5542,17.0482,14.2096,13.448,15.6922,-3.9168,15.9396,14.1529,16.9445,14.3964,5.516,17.0381,16.3132,5.0418,13.1114,9.901,17.3167,12.7999,12.2345,16.0053,-26.7112,5.2073
Step_120.soma.v.AHP_time_from_peak,24.075,32.5175,27.5155,20.6607,31.4667,27.8104,29.6207,26.65,24.576,36.2707,26.3348,28.7472,29.2525,24.8592,31.2059,27.9037,30.3611,7.9687,14.0965,33.101,27.4333,27.4954,27.124,41.45,29.409,32.4433,28.5066,26.8679,42.6,25.6935,26.8044,27.2092,26.9078,28.7785,26.5517,25.4339,26.2318,25.307,29.3921,33.2774,31.651,34.1399,33.5313,31.9427
Step_120.soma.v.steady_state_voltage,-87.383,-85.5738,-88.4734,-86.2848,-86.1518,-84.4491,-85.3633,-84.7448,-86.2436,-84.4366,-85.7011,-83.5245,-85.4854,-85.7856,-85.605,-88.6767,-88.1096,-87.6568,-85.8357,-86.6757,-85.6639,-83.1234,-86.1867,-87.9363,-85.1135,-88.4174,-85.7833,-86.3617,-87.9338,-84.905,-85.2657,-85.6391,-85.8637,-86.1878,-84.9153,-84.2275,-84.4279,-85.6656,-84.6941,-84.0339,-85.8936,-84.9451,-87.5425,-86.6258
Step_120.soma.v.decay_time_constant_after_stim,8.7902,12.1971,10.2599,12.4754,14.9357,16.7623,11.747,20.8576,11.7705,16.546,15.434,17.3677,11.916,17.252,19.673,14.3855,19.0424,14.432,16.2824,11.9855,17.1005,25.354,13.3065,10.8842,18.6984,14.1296,18.9369,14.6641,11.5659,14.8899,13.0572,16.1111,8.3176,14.2953,19.1696,17.6994,12.7312,11.4339,15.6558,13.5107,17.2401,20.6425,14.3756,13.4985
Step_120.soma.v.voltage_base,-83.5818,-82.9195,-85.064,-83.8743,-84.0742,-82.6955,-82.4754,-83.7323,-82.9638,-82.8341,-82.9043,-83.0571,-83.1745,-84.4018,-83.5814,-83.9863,-85.3709,-83.9372,-82.867,-84.8628,-84.0483,-81.9823,-83.412,-85.002,-83.3418,-85.8038,-84.2536,-84.0593,-84.4464,-83.0784,-82.5012,-83.478,-82.7886,-83.7149,-84.0173,-83.7622,-83.8906,-82.7739,-82.9736,-82.2498,-83.8755,-84.3298,-85.324,-84.8906
Step_120.soma.v.voltage_after_stim,-87.7883,-87.5448,-89.5223,-88.1315,-87.7657,-86.5905,-86.9002,-86.8133,-87.7142,-86.5547,-88.3499,-85.5403,-87.27,-87.7695,-88.4043,-91.874,-90.7083,-89.7805,-88.4718,-87.7606,-87.5923,-86.1708,-87.4128,-89.1381,-87.9674,-90.1929,-88.6995,-88.6085,-89.2429,-86.9444,-86.9812,-88.1197,-86.2244,-88.2898,-87.3452,-86.7511,-85.3013,-86.8822,-86.7849,-85.5733,-88.7629,-87.4088,-89.5164,-88.237
Step_120.soma.v.number_initial_spikes,0.5714,,1.375,1.1429,,1.125,1.2,,1.25,0.875,1.2,0.8889,1.3333,,,,0.75,,,,,,,,,,1.0,1.25,,1.125,,1.0,1.25,,1.0,1.0,1.5,1.125,,1.375,,,,1.3
Step_120.soma.v.AP_duration,49.7375,17.1808,2.6871,45.7536,2.6579,2.7854,12.7975,3.125,2.5068,17.607,2.5302,4.1488,7.3651,3.4065,2.0778,46.7913,1.8472,3.55,2.6122,2.5039,2.8292,2.9701,2.6292,2.4,2.4014,2.793,1.9849,15.6181,2.625,2.9002,2.4684,2.77,10.0414,2.5188,2.3067,16.5889,2.3986,2.0337,1.7591,2.6973,3.1104,2.208,41.7313,15.8831
Step_120.soma.v.spike_half_width,2.0504,2.465,2.3593,2.2717,1.5185,1.4776,2.0147,1.9683,2.4721,2.0399,2.1378,1.9198,2.3456,1.9025,1.7374,2.9313,2.8336,1.628,2.0592,1.5205,1.5235,1.8584,1.36,1.8775,2.1357,1.5928,2.6802,1.9357,1.4809,1.8817,2.2596,1.9848,1.8941,2.4428,2.1668,2.7791,1.5602,2.0537,2.7483,1.695,1.999,2.0182,2.4847,2.0399
Step_150.soma.v.AP_height,16.9654,9.1306,15.3234,12.4145,26.5442,27.9327,21.1805,22.5996,25.328,10.1249,29.8744,11.504,8.0687,12.4418,22.2984,12.0104,6.9981,28.6481,21.1684,18.8595,18.104,27.6589,29.2257,16.9744,23.8285,19.3966,14.9835,18.9825,29.4433,24.8188,18.1358,20.6516,12.0787,17.6557,11.2738,2.7588,16.4297,17.3641,12.3124,22.0571,19.4503,9.7515,2.7656,11.2377
Step_150.soma.v.AHP_slow_time,0.0968,0.1583,0.212,0.1556,0.195,0.2114,0.2697,,0.2163,0.2794,0.1864,0.2307,0.2078,0.1682,0.1963,0.2157,0.0934,0.0221,0.1339,0.2304,0.2915,0.2267,0.2708,0.186,0.0762,0.2058,0.1492,0.1247,0.1328,0.1514,0.2454,0.0861,0.2804,0.1264,0.0906,0.2322,0.2792,0.3257,0.2303,0.2513,0.1179,0.2663,0.2285,0.2193
Step_150.soma.v.doublet_ISI,906.5,94.6,91.5625,128.1125,150.5,107.675,61.9222,948.7,90.7875,111.9,45.1,115.025,75.5,147.525,159.6,121.5625,445.7556,434.3,140.55,171.55,155.925,196.3333,154.5625,203.6,136.7667,76.05,121.25,52.95,449.0,78.1,88.9143,290.4667,79.0143,101.45,176.05,113.36,90.975,92.3875,103.1,103.225,139.05,161.675,314.6875,62.5
Step_150.soma.v.mean_frequency,8.9596,5.2864,7.9817,3.5493,4.5187,6.5168,6.6411,14.2247,8.3981,7.0261,8.0608,6.7958,8.077,4.5748,4.264,5.1118,2.8248,1.6754,4.9469,4.8657,5.5113,4.0829,5.9513,4.2646,3.0476,6.6084,4.4567,4.8519,2.7034,5.8451,8.4747,3.1071,8.4289,4.6654,2.7715,6.0209,9.3869,8.0194,6.6383,7.0198,3.218,5.4232,3.8637,6.3878
Step_150.soma.v.AHP_depth_abs_slow,-67.9815,-63.5305,-65.2354,-58.4832,-70.0805,-63.7195,-57.4277,,-59.2011,-61.5031,-56.2702,-63.6592,-62.191,-69.6124,-65.7571,-58.5998,-73.2101,-69.33,-67.4993,-76.3419,-67.2457,-66.5893,-64.2698,-73.2902,-65.9447,-70.894,-66.2723,-62.5736,-70.9016,-60.5802,-60.0666,-67.0424,-63.5814,-68.129,-68.4691,-65.0416,-68.628,-58.4642,-60.9544,-67.8798,-69.2431,-71.2063,-63.899,-63.7278
Step_150.soma.v.AP_width,2.454,2.8077,3.1297,3.5324,2.0327,2.1556,4.3885,2.5313,4.364,2.5106,5.1637,2.2654,2.7046,2.2924,2.6705,4.7534,3.0231,2.7,2.969,1.6947,2.0204,2.9982,2.2371,2.1583,3.0756,1.9643,3.6132,2.5506,2.0357,2.9675,3.7145,2.8456,2.439,2.8708,2.5508,3.0829,1.8713,3.7748,3.9465,2.2567,2.675,2.1862,2.7497,2.4062
Step_150.soma.v.time_to_first_spike,31.9,22.15,20.875,26.325,31.9,25.775,20.2222,46.975,18.7375,38.45,22.9,39.7875,20.15,29.5625,37.375,33.2,48.9222,28.7,31.5,35.2,35.6125,56.4,28.975,32.9,33.9,20.25,38.5,19.55,29.5,23.5,24.7429,31.7,18.5714,27.9,38.3125,39.06,23.1125,25.275,34.175,21.0,33.1,43.025,34.1375,21.75
Step_150.soma.v.AHP_depth_abs,-65.4924,-62.2413,-64.8512,-55.4861,-68.6335,-62.782,-55.8244,-65.1918,-58.6077,-60.6514,-55.8214,-62.7437,-61.4652,-68.5157,-64.3095,-56.9301,-71.8455,-63.2463,-63.9448,-75.1862,-65.4229,-64.2274,-62.7627,-72.0768,-64.0977,-69.9633,-65.3984,-61.7129,-68.2552,-60.0691,-59.4944,-65.847,-62.6133,-67.5391,-67.0875,-63.3024,-68.2106,-57.0544,-60.3354,-67.1354,-67.4709,-69.3946,-60.8404,-62.3054
Step_150.soma.v.time_to_last_spike,1179.7714,1840.25,1958.95,1814.5,1718.9,1919.825,1911.9333,402.7375,1933.7,1896.875,1919.15,1887.85,1910.4,1867.3125,1835.825,1834.025,1435.6222,1790.65,1865.1,1713.0,1840.5625,1956.9,1905.975,1852.25,1409.2667,1964.35,1911.95,1945.05,1798.5,1963.9,1920.8429,1678.5667,1929.0143,1913.5,1628.3125,1894.48,1952.9375,1929.6375,1961.825,1924.2,1821.65,1868.675,1782.1,1960.0
Step_150.soma.v.inv_time_to_first_spike,32.0826,45.5761,48.24,38.4469,31.427,38.8689,50.0559,21.4576,53.5627,26.2794,44.3798,25.5596,49.9628,33.8724,27.2578,30.41,20.7521,34.8538,32.0645,28.5011,28.2458,17.7994,34.8124,30.3996,30.0451,49.3902,25.9916,51.2263,33.9862,42.7273,40.624,32.495,54.2661,35.8497,26.6971,25.8069,44.2265,39.8838,29.4609,47.8911,30.2214,23.3886,29.5778,46.1294
Step_150.soma.v.inv_first_ISI,1.5881,10.9279,11.1149,11.7121,6.7158,9.3165,19.0883,0.7186,11.3216,9.1663,22.427,9.0056,13.262,6.8304,6.6495,8.8654,3.6388,4.2874,7.2803,5.8887,6.5971,5.3834,6.9899,4.9395,8.4004,13.1528,8.2906,19.0082,3.2657,12.8547,11.5213,5.915,13.1632,9.8923,5.9356,9.1015,11.5377,12.3321,10.0652,9.7968,7.1919,6.2461,4.4877,16.0256
Step_150.soma.v.inv_second_ISI,1.0574,6.2988,7.8831,3.6425,4.5308,6.9964,6.7784,0.0,7.7994,6.934,8.4647,7.2365,8.6474,5.0618,3.5348,4.4946,1.968,0.7943,4.6891,5.1634,4.9524,3.8234,5.4503,4.2533,3.5561,7.124,4.4899,7.8241,2.24,6.8658,7.9738,2.7872,7.8485,5.2872,2.6033,5.8789,9.534,6.9135,7.0134,6.7173,3.1122,5.6192,2.3177,8.044
Step_150.soma.v.inv_third_ISI,0.5371,4.5184,7.2839,3.1054,3.1821,6.2173,6.5559,0.0,7.7637,6.4822,7.3418,6.8131,7.9821,4.3146,4.1721,4.5885,1.2004,0.0,3.9282,4.1857,4.8029,3.4881,5.1822,4.2046,1.1793,6.6279,3.8377,5.198,1.8804,6.0988,7.8885,1.7987,7.5683,4.2514,1.2322,5.4393,9.1385,7.1011,6.2897,6.684,2.5384,4.9315,3.5582,7.3655
Step_150.soma.v.inv_fourth_ISI,0.58,4.5717,7.2122,2.0867,4.3784,6.0237,5.8489,0.0,7.8076,6.1636,6.893,6.3183,7.3182,3.6698,2.9773,3.936,0.7836,0.0,4.0072,3.6525,5.0815,3.553,5.2196,3.7418,1.017,5.3171,3.7442,3.946,1.1067,5.438,7.8765,1.6182,7.5501,4.1482,1.0418,5.3023,9.1218,7.37,6.201,6.2578,1.7271,4.99,3.1558,4.6576
